Name,Code,Scale,Inv.,Rate (USD),Rate (SEK),Rate (GBP),Rate (EUR)
Surinamese Dollar,SRD,1,No,37.1405,3.630104,46.338335,41.034692
Swedish Krona,SEK,1,No,10.23125,1,12.765016,11.304
Swiss Franc,CHF,1,No,0.8885,0.086842,1.108537,0.981659
Syrian Potmd,SYP,1,No,2512.5,245.571167,3134.719971,2775.936361
Taiwan Dollar,TWD,1,No,30.6795,2.998607,38.27727,33.896255
Tanzanian Schilling,TZS,1,No,2350,229.688454,2931.976889,2596.398188
Thai Baht,THB,1,No,34.36125,3.358461,42.870805,37.964037
Trinidad and Tobago Dollar,TTD,1,No,6.75585,0.660315,8.428934,7.464203
Tunisian Dinar,TND,1,No,3.0357,0.296709,3.78749,3.353994
Turkish Lira,TRY,1,No,19.4095,1.89708,24.216258,21.444592
UAE Dirham,AED,1,No,3.6722,0.35892,4.581619,4.057231
Uganda Shilling,UGX,1,No,3745,366.035431,4672.448276,4137.664346
Ukraine Hryvnia,UAH,1,No,36.745,3.591448,45.84489,40.597724
Uruguayan Peso,UYU,1,No,38.955,3.807453,48.602196,43.039443
US Dollar,USD,1,No,1,0.09774,1.24765,1.10485
Venezuelan Bolivar Fuerte,VEF,1,No,2458395,240282.9566,3067215.882,2716158.436
Venezuelan Bolivar Soberano,VES,1,No,24.58395,2.40283,30.672159,27.161584
Vietnamese Dong,VND,1,No,23476,2294.53879,29289.82529,25937.46547
West African CFA franc,XOF,1,No,593.70685,58.02877,740.738197,655.957187
Yemeni Rial,YER,1,No,250.35,24.469151,312.349112,276.599271
Zambian Kwacha,ZMW,1,No,17.625,1.722663,21.989827,19.472986
